,tconst,averageRating,numVotes
239541,tt0443453,7.3,415617
59129,tt0083866,7.9,414888
640668,tt1399103,6.2,413304
47183,tt0070047,8.1,413118
621302,tt1355644,7.0,412361
111924,tt0163651,7.0,412135
70158,tt0096697,8.7,411329
474353,tt1055369,5.9,410928
199611,tt0351283,6.9,410150
207651,tt0369339,7.5,410076
185331,tt0315327,6.8,409732
194539,tt0337978,7.1,409645
66084,tt0092005,8.1,408774
1053817,tt5095030,7.0,408588
879743,tt2382320,7.3,407964
100846,tt0141842,9.2,407747
31740,tt0052357,8.3,405906
744350,tt1690953,7.3,404930
63362,tt0088847,7.8,404837
61697,tt0086879,8.4,404677
204974,tt0363771,6.9,404528
14980,tt0032138,8.1,404381
542645,tt1187043,8.4,404334
476995,tt1060277,7.0,403667
55348,tt0079470,8.0,403649
121210,tt0181852,6.3,403631
565587,tt12361974,8.0,402657
88738,tt0119174,7.7,402242
72721,tt0099674,7.6,401760
798383,tt1950186,8.1,401680
160256,tt0265086,7.7,401118
198023,tt0347149,8.2,401025
89181,tt0119698,8.4,399098
790558,tt1905041,7.0,398174
1093261,tt5753856,8.7,397175
899006,tt2584384,7.9,397169
401469,tt0840361,7.5,395754
585801,tt1282140,7.0,395667
199145,tt0349903,6.5,395405
204058,tt0361862,7.7,395255
594825,tt1302006,7.8,394033
915010,tt2820852,7.1,393939
259368,tt0493464,6.7,393561
223744,tt0405094,8.4,392564
83616,tt0112864,7.6,392291
81690,tt0110475,6.9,392194
1000914,tt4158110,8.6,391785
210985,tt0377092,7.1,391171
81048,tt0109686,7.3,390560
145237,tt0232500,6.8,390287
691196,tt1517451,7.6,389805
862932,tt2283362,6.9,387631
1259018,tt9376612,7.4,387558
720669,tt1596343,7.3,385234
958022,tt3480822,6.7,384380
864852,tt2294449,7.0,382798
88666,tt0119094,7.3,382031
544052,tt1190080,5.8,381780
70317,tt0096895,7.5,381676
898817,tt2582846,7.7,381497
701886,tt1542344,7.6,381212
718360,tt1587310,6.9,380737
90166,tt0120912,6.1,380675
896986,tt2560140,9.0,380334
879504,tt2381249,7.4,378111
243998,tt0454848,7.6,377532
914105,tt2802850,8.9,377377
244501,tt0455944,7.2,377097
88562,tt0118971,7.5,377083
1125002,tt6264654,7.1,376378
239609,tt0443543,7.6,376193
730459,tt1632708,6.5,374142
90730,tt0121955,8.7,373417
253097,tt0478311,6.9,373024
186442,tt0317740,7.0,372896
225019,tt0408236,7.3,372700
436096,tt0964517,7.8,372339
144412,tt0230600,7.6,371574
76691,tt0104431,6.8,370263
82339,tt0111257,7.3,369009
644924,tt1409024,6.8,367756
190892,tt0328107,7.7,367480
170909,tt0286106,6.8,367443
72507,tt0099423,7.1,367243
481025,tt1068680,6.8,366999
194939,tt0338751,7.5,366098
748640,tt1706620,7.1,365980
237600,tt0438488,6.5,365649
111412,tt0162661,7.3,365516
628468,tt1371111,7.4,364947
664422,tt1453405,7.2,364912
65270,tt0091042,7.8,363666
540370,tt1182345,7.8,362740
216359,tt0388795,7.7,362114
202226,tt0357413,7.1,361957
186523,tt0317919,6.9,361377
113682,tt0166924,7.9,361021
219905,tt0396269,7.0,360652
679784,tt1490017,7.7,360581
196600,tt0343660,6.8,360578
204626,tt0363163,8.2,358754
791020,tt1907668,7.3,358530
219331,tt0395169,8.1,358448
1128978,tt6334354,7.2,358252
56993,tt0081398,8.2,357860
479025,tt1065073,7.9,357162
846927,tt2194499,7.8,356919
735939,tt1650062,7.0,356792
62509,tt0087843,8.3,355467
177029,tt0298130,7.1,354836
252650,tt0477347,6.4,354754
88924,tt0119396,7.5,354035
757998,tt1748122,7.8,353443
978309,tt3778644,6.9,352604
84122,tt0113497,7.0,351853
203487,tt0360486,7.0,351616
260396,tt0496806,6.9,351563
1117812,tt6146586,7.4,351252
103584,tt0147800,7.3,349513
603802,tt1320253,6.4,349272
909940,tt2737304,6.6,348946
87402,tt0117571,7.4,348866
932453,tt3107288,7.6,348852
27576,tt0047478,8.6,348626
89987,tt0120663,7.5,347701
90054,tt0120755,6.1,347347
79388,tt0107688,7.9,347316
563692,tt1231583,6.5,347138
1220098,tt8367814,7.8,346750
1245087,tt9032400,6.3,346556
384084,tt0790724,7.0,345818
768048,tt1796960,8.3,344980
241436,tt0448115,7.0,344655
121582,tt0182576,8.2,344561
69785,tt0096283,8.1,344507
181006,tt0306414,9.3,344127
422007,tt0910936,6.9,343866
642639,tt1403865,7.6,343036
53558,tt0077416,8.1,342620
87344,tt0117500,7.4,342407
960965,tt3521164,7.6,342004
499536,tt1104001,6.8,341289
478886,tt10648342,6.3,340924
735065,tt1646971,7.8,340661
136277,tt0212338,7.0,339691
89939,tt0120601,7.8,339439
545552,tt1193138,7.4,339244
207442,tt0368891,6.9,338301
394990,tt0822854,7.1,337950
1043788,tt4912910,7.7,337524
413658,tt0878804,7.6,337375
416125,tt0887883,7.0,336994
913222,tt2788710,6.5,336694
136653,tt0213149,6.2,336658
216916,tt0389860,6.4,336586
73653,tt0100802,7.5,335539
922589,tt2948372,8.0,335285
147835,tt0238380,7.3,334900
827123,tt2106476,8.3,334725
235423,tt0433035,7.0,334515
247194,tt0462538,7.3,334463
979903,tt3799694,7.3,334384
1029211,tt4649466,6.7,333873
113832,tt0167190,6.8,333791
466658,tt1041829,6.7,333566
539107,tt1179933,7.2,333495
1235140,tt8772262,7.1,333463
748967,tt1707386,7.5,333209
597441,tt1306980,7.6,333181
89989,tt0120667,5.7,333108
798610,tt1951266,6.5,332978
41992,tt0064116,8.5,332845
913823,tt2798920,6.8,331949
32409,tt0053125,8.3,331183
73314,tt0100405,7.1,330970
413150,tt0877057,9.0,330573
48301,tt0071315,8.2,330469
134770,tt0209163,6.4,329937
1250347,tt9140560,7.9,329703
994142,tt4052886,8.1,329028
81422,tt0110148,7.5,328363
1195954,tt7784604,7.3,326958
111611,tt0163025,5.9,326292
437393,tt0970179,7.5,326063
643361,tt1405406,7.7,325754
72058,tt0098904,8.9,323864
975326,tt3731562,6.6,323849
1250346,tt9140554,8.2,323733
779494,tt1844624,8.0,323039
869472,tt2322441,4.2,322910
889768,tt2467372,8.4,322816
464513,tt1037705,6.8,322337
221289,tt0399295,7.6,322028
203250,tt0359950,7.3,321780
215289,tt0386588,6.6,321486
1042264,tt4881806,6.1,321196
228634,tt0417299,9.3,320903
1052163,tt5071412,8.5,320361
86435,tt0116367,7.2,319413
35473,tt0056592,8.3,319131
221252,tt0399201,6.8,318851
798605,tt1951261,5.8,318827
92921,tt0125439,7.2,318583
14356,tt0031381,8.2,318573
430477,tt0944835,6.4,318288
828033,tt2109248,5.6,317585
1188838,tt7631058,6.9,317504
766862,tt1790809,6.5,317158
250546,tt0472043,7.8,316433
213192,tt0381849,7.7,316361
125932,tt0190590,7.7,316310
232040,tt0425210,7.7,316265
526871,tt11564570,7.2,316155
415116,tt0884328,7.1,316087
1189934,tt7653254,7.9,315838
117916,tt0175880,8.0,315834
94991,tt0129387,7.1,315271
808375,tt2004420,6.3,314885
243555,tt0453467,7.1,314634
971965,tt3682448,7.6,314552
732117,tt1638355,7.2,314220
68002,tt0094226,7.8,314142
89032,tt0119528,6.9,313994
912111,tt2771200,7.1,313837
227002,tt0413573,7.6,313690
719478,tt1591095,6.8,313466
1147542,tt6710474,8.0,313042
83288,tt0112471,8.1,312901
734597,tt1645170,6.4,312768
88595,tt0119008,7.7,312640
226878,tt0413267,6.1,312571
1047173,tt4975722,7.4,312367
569672,tt1245526,7.0,312233
136475,tt0212720,7.2,311213
192594,tt0332379,7.2,311029
639863,tt1397280,6.2,310531
68423,tt0094721,7.5,310453
